[siege-trace] t137d__04 t=28394 (41,24) map=1 stage=0 hp=100%
[siege-trace] t137d__04 t=28815 (28,10) map=6 stage=11 hp=0%
[siege-trace] t137d__01 t=28815 (28,10) map=1 stage=11 hp=44%
[siege-trace] t137d__00 t=28816 (28,10) map=1 stage=11 hp=8%
[siege-trace] t137d__02 t=28817 (27,10) map=1 stage=11 hp=3%
[siege-trace] t137d__05 t=28817 (28,10) map=6 stage=11 hp=55%
[siege-trace] t137d__03 t=28818 (28,10) map=1 stage=11 hp=43%
[siege-trace] t137d__04 t=28845 (28,10) map=6 stage=11 hp=0%
[siege-trace] t137d__01 t=28845 (27,10) map=1 stage=11 hp=47%
[siege-trace] t137d__00 t=28846 (28,10) map=6 stage=11 hp=34%
[siege-trace] t137d__02 t=28847 (27,10) map=1 stage=11 hp=7%
[siege-trace] t137d__03 t=28848 (28,10) map=6 stage=11 hp=75%
[siege-trace] t137d__05 t=28848 (20,23) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=28875 (28,10) map=1 stage=11 hp=9%
[siege-trace] t137d__04 t=28875 (28,10) map=1 stage=10 hp=0%
[siege-trace] t137d__00 t=28876 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__02 t=28877 (28,10) map=1 stage=11 hp=12%
[siege-trace] t137d__03 t=28878 (28,10) map=1 stage=11 hp=82%
[siege-trace] t137d__05 t=28878 (22,15) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=28905 (28,10) map=6 stage=11 hp=37%
[siege-trace] t137d__04 t=28905 (28,10) map=6 stage=11 hp=5%
[siege-trace] t137d__00 t=28906 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__02 t=28907 (28,10) map=6 stage=11 hp=91%
[siege-trace] t137d__05 t=28908 (28,10) map=6 stage=11 hp=37%
[siege-trace] t137d__03 t=28908 (20,23) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=28935 (28,10) map=1 stage=11 hp=65%
[siege-trace] t137d__04 t=28935 (28,10) map=6 stage=11 hp=8%
[siege-trace] t137d__00 t=28936 (22,14) map=1 stage=10 hp=97%
[siege-trace] t137d__02 t=28937 (28,10) map=6 stage=11 hp=0%
[siege-trace] t137d__05 t=28938 (28,10) map=6 stage=11 hp=8%
[siege-trace] t137d__03 t=28938 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=28965 (27,10) map=1 stage=11 hp=38%
[siege-trace] t137d__04 t=28965 (28,10) map=6 stage=11 hp=14%
[siege-trace] t137d__00 t=28966 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__02 t=28967 (28,10) map=1 stage=11 hp=31%
[siege-trace] t137d__05 t=28968 (28,10) map=6 stage=11 hp=92%
[siege-trace] t137d__03 t=28968 (28,10) map=1 stage=11 hp=35%
[siege-trace] t137d__01 t=28995 (34,16) map=1 stage=10 hp=100%
[siege-trace] t137d__04 t=28995 (28,10) map=6 stage=11 hp=9%
[siege-trace] t137d__00 t=28996 (28,10) map=1 stage=11 hp=86%
[siege-trace] t137d__02 t=28997 (28,10) map=6 stage=11 hp=26%
[siege-trace] t137d__03 t=28998 (28,10) map=6 stage=11 hp=0%
[siege-trace] t137d__05 t=28999 (27,10) map=1 stage=10 hp=0%
[siege-trace] t137d__01 t=29025 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__04 t=29025 (28,10) map=1 stage=11 hp=47%
[siege-trace] t137d__00 t=29026 (29,11) map=1 stage=11 hp=83%
[siege-trace] t137d__02 t=29027 (28,10) map=6 stage=11 hp=12%
[siege-trace] t137d__03 t=29028 (28,10) map=1 stage=11 hp=39%
[siege-trace] t137d__05 t=29029 (28,10) map=1 stage=11 hp=69%
[siege-trace] t137d__01 t=29055 (28,10) map=1 stage=11 hp=93%
[siege-trace] t137d__04 t=29055 (28,10) map=6 stage=11 hp=45%
[siege-trace] t137d__00 t=29056 (28,10) map=1 stage=11 hp=88%
[siege-trace] t137d__02 t=29057 (28,10) map=6 stage=11 hp=18%
[siege-trace] t137d__03 t=29058 (28,10) map=6 stage=11 hp=94%
[siege-trace] t137d__05 t=29059 (28,10) map=6 stage=11 hp=48%
[siege-trace] t137d__01 t=29085 (29,11) map=1 stage=11 hp=91%
[siege-trace] t137d__04 t=29085 (28,10) map=6 stage=11 hp=0%
[siege-trace] t137d__00 t=29086 (29,11) map=1 stage=11 hp=46%
[siege-trace] t137d__02 t=29087 (28,10) map=1 stage=11 hp=46%
[siege-trace] t137d__03 t=29088 (29,11) map=1 stage=11 hp=66%
[siege-trace] t137d__05 t=29089 (29,11) map=1 stage=11 hp=39%
[siege-trace] t137d__01 t=29115 (28,10) map=1 stage=11 hp=96%
[siege-trace] t137d__04 t=29115 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=29116 (28,10) map=1 stage=11 hp=40%
[siege-trace] t137d__02 t=29117 (28,10) map=6 stage=11 hp=79%
[siege-trace] t137d__03 t=29118 (28,10) map=1 stage=11 hp=2%
[siege-trace] t137d__05 t=29119 (30,14) map=1 stage=10 hp=97%
[bots] CRYPT bossSeen=1156 bossKills=68 curse=0 slam=0
[bots] SIEGE reg=0 breach=0 crown=0
[bots] SUMMARY welcomed=6/6 moved=6/6 minDeltas=15000 kills=200 pots=0 swings=0 deaths=208 shops=0 anvilTries=0 levelDrops=21 regear=0 maxLevel=13 pkts=2863189 bytes=68297250 gates b/g/p/a/r=0/0/0/0/0 mGold=0 mPelts=0 bless=0 mend=0 noSee=0 hurt=0 choir c6=0 c7=0 c8=0
[bots] t137d__00    kit=1 lvl=13 hp=0/262 party=0 deaths=16 rxR=0 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=114 bossKills=18 curse=0 slam=0 lastDeath=(28,10) killerByLvl=L12:2 L13:8 L14:2 L2:2 L15:2
[bots] t137d__01    kit=1 lvl=13 hp=255/262 party=0 deaths=18 rxR=0 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=138 bossKills=12 curse=0 slam=0 lastDeath=(28,10) killerByLvl=L10:2 L12:2 L13:8 L14:4 L15:2
[bots] t137d__02    kit=1 lvl=12 hp=119/256 party=0 deaths=28 rxR=0 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=133 bossKills=4 curse=0 slam=0 lastDeath=(28,10) killerByLvl=L10:2 L13:10 L14:10 L15:6
[bots] t137d__03    kit=1 lvl=11 hp=0/250 party=0 deaths=46 rxR=0 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=224 bossKills=18 curse=0 slam=0 lastDeath=(28,10) killerByLvl=L12:2 L11:2 L13:16 L14:16 L2:2 L15:8
[bots] t137d__04    kit=1 lvl=11 hp=138/250 party=0 deaths=40 rxR=0 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=236 bossKills=4 curse=0 slam=0 lastDeath=(27,10) killerByLvl=L11:4 L13:16 L14:20
[bots] t137d__05    kit=1 lvl=9 hp=185/238 party=0 deaths=60 rxR=0 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=311 bossKills=12 curse=0 slam=0 lastDeath=(28,10) killerByLvl=L12:2 L13:22 L14:28 L15:8
[bots] OK
