[siege-trace] t137a__04 t=43316 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=43408 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__05 t=43408 (26,10) map=1 stage=4 hp=78%
[siege-trace] t137a__02 t=43409 (26,10) map=1 stage=4 hp=100%
[siege-trace] t137a__07 t=43414 (26,10) map=6 stage=4 hp=62%
[siege-trace] t137a__04 t=43436 (30,22) map=6 stage=5 hp=93%
[siege-trace] t137a__08 t=43436 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__01 t=43436 (26,10) map=6 stage=4 hp=78%
[siege-trace] t137a__00 t=43436 (30,22) map=6 stage=5 hp=95%
[siege-trace] t137a__09 t=43436 (28,10) map=1 stage=5 hp=80%
[siege-trace] t137a__11 t=43437 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43437 (30,22) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43437 (30,22) map=6 stage=5 hp=75%
[siege-trace] t137a__03 t=43438 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43438 (28,10) map=1 stage=5 hp=83%
[siege-trace] t137a__02 t=43439 (40,15) map=1 stage=5 hp=43%
[siege-trace] t137a__07 t=43444 (28,10) map=6 stage=5 hp=67%
[siege-trace] t137a__04 t=43466 (23,17) map=6 stage=5 hp=97%
[siege-trace] t137a__08 t=43466 (23,17) map=6 stage=5 hp=93%
[siege-trace] t137a__01 t=43466 (28,10) map=6 stage=5 hp=83%
[siege-trace] t137a__00 t=43466 (23,17) map=6 stage=5 hp=99%
[siege-trace] t137a__09 t=43466 (28,10) map=1 stage=5 hp=85%
[siege-trace] t137a__11 t=43467 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43467 (23,17) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43467 (23,17) map=6 stage=5 hp=81%
[siege-trace] t137a__03 t=43468 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43468 (28,10) map=1 stage=5 hp=89%
[siege-trace] t137a__02 t=43469 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__07 t=43474 (28,10) map=6 stage=5 hp=72%
[siege-trace] t137a__04 t=43496 (17,15) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43496 (17,15) map=6 stage=5 hp=94%
[siege-trace] t137a__01 t=43496 (28,10) map=6 stage=5 hp=89%
[siege-trace] t137a__00 t=43496 (17,15) map=6 stage=5 hp=95%
[siege-trace] t137a__09 t=43496 (28,10) map=1 stage=5 hp=87%
[siege-trace] t137a__11 t=43497 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43497 (17,15) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43497 (17,15) map=6 stage=5 hp=86%
[siege-trace] t137a__03 t=43498 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43498 (28,10) map=1 stage=5 hp=95%
[siege-trace] t137a__02 t=43499 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__07 t=43504 (28,10) map=6 stage=5 hp=78%
[siege-trace] t137a__04 t=43526 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43526 (18,17) map=6 stage=5 hp=92%
[siege-trace] t137a__01 t=43526 (28,10) map=6 stage=5 hp=94%
[siege-trace] t137a__00 t=43526 (18,17) map=6 stage=5 hp=93%
[siege-trace] t137a__09 t=43526 (28,10) map=1 stage=5 hp=90%
[siege-trace] t137a__11 t=43527 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43527 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43527 (18,17) map=6 stage=5 hp=91%
[siege-trace] t137a__03 t=43528 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43528 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43529 (26,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43534 (28,10) map=6 stage=5 hp=83%
[siege-trace] t137a__04 t=43556 (24,19) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43556 (24,19) map=6 stage=5 hp=98%
[siege-trace] t137a__01 t=43556 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43556 (24,19) map=6 stage=5 hp=99%
[siege-trace] t137a__09 t=43557 (28,10) map=1 stage=5 hp=91%
[siege-trace] t137a__11 t=43557 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43557 (24,19) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43557 (24,19) map=6 stage=5 hp=90%
[siege-trace] t137a__03 t=43558 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43558 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43559 (24,19) map=6 stage=5 hp=95%
[siege-trace] t137a__07 t=43564 (28,10) map=6 stage=5 hp=89%
[siege-trace] t137a__04 t=43586 (22,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43586 (22,17) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43586 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43586 (22,17) map=6 stage=5 hp=98%
[siege-trace] t137a__09 t=43587 (28,10) map=1 stage=5 hp=87%
[siege-trace] t137a__11 t=43587 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43587 (19,19) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43587 (19,19) map=6 stage=5 hp=90%
[siege-trace] t137a__03 t=43588 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43588 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43589 (19,19) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43594 (28,10) map=6 stage=5 hp=94%
[siege-trace] t137a__01 t=43616 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43616 (16,16) map=6 stage=5 hp=97%
[siege-trace] t137a__04 t=43616 (16,16) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43616 (16,16) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43617 (28,10) map=1 stage=5 hp=89%
[siege-trace] t137a__11 t=43617 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43617 (16,16) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43617 (16,16) map=6 stage=5 hp=89%
[siege-trace] t137a__03 t=43618 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43618 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43619 (16,16) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43624 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43646 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43646 (14,17) map=6 stage=5 hp=95%
[siege-trace] t137a__04 t=43646 (14,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43646 (14,17) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43647 (28,10) map=1 stage=5 hp=95%
[siege-trace] t137a__11 t=43647 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43647 (14,17) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43647 (14,17) map=6 stage=5 hp=91%
[siege-trace] t137a__03 t=43648 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43648 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43649 (14,17) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43654 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43676 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43676 (18,17) map=6 stage=5 hp=81%
[siege-trace] t137a__04 t=43676 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43676 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43677 (28,10) map=1 stage=5 hp=95%
[siege-trace] t137a__11 t=43677 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43677 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43677 (18,17) map=6 stage=5 hp=97%
[siege-trace] t137a__03 t=43678 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43678 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43679 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43684 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43706 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43706 (18,15) map=6 stage=5 hp=74%
[siege-trace] t137a__04 t=43706 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43706 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43707 (28,10) map=1 stage=5 hp=99%
[siege-trace] t137a__11 t=43707 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43707 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43707 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=43708 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43708 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43709 (18,15) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43714 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43736 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43736 (23,18) map=6 stage=5 hp=70%
[siege-trace] t137a__04 t=43736 (23,18) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43736 (23,18) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43737 (28,10) map=1 stage=5 hp=98%
[siege-trace] t137a__11 t=43737 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43737 (23,18) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43737 (23,18) map=6 stage=5 hp=95%
[siege-trace] t137a__03 t=43738 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43738 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43739 (23,18) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43744 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43766 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43766 (24,20) map=6 stage=5 hp=74%
[siege-trace] t137a__04 t=43766 (24,20) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43766 (24,20) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43767 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__11 t=43767 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43767 (24,20) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43767 (24,20) map=6 stage=5 hp=86%
[siege-trace] t137a__03 t=43768 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43768 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43769 (24,20) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43774 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43796 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43796 (17,18) map=6 stage=5 hp=73%
[siege-trace] t137a__04 t=43796 (17,18) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43796 (17,18) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43797 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__11 t=43797 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43797 (17,18) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43797 (17,18) map=6 stage=5 hp=88%
[siege-trace] t137a__03 t=43798 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43798 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43799 (17,18) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43804 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43826 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43826 (18,17) map=6 stage=5 hp=72%
[siege-trace] t137a__04 t=43826 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43826 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43827 (28,10) map=1 stage=5 hp=98%
[siege-trace] t137a__11 t=43827 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43827 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43827 (18,17) map=6 stage=5 hp=86%
[siege-trace] t137a__03 t=43828 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43828 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43829 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43834 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43856 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43857 (28,10) map=1 stage=5 hp=97%
[siege-trace] t137a__11 t=43857 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43857 (16,14) map=6 stage=5 hp=67%
[siege-trace] t137a__04 t=43857 (16,14) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43857 (16,14) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43857 (16,14) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43857 (16,14) map=6 stage=5 hp=91%
[siege-trace] t137a__03 t=43858 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43858 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43859 (16,14) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43864 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43886 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43887 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__11 t=43887 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43887 (21,17) map=6 stage=5 hp=59%
[siege-trace] t137a__04 t=43887 (21,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43887 (21,17) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43887 (21,17) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43887 (21,17) map=6 stage=5 hp=97%
[siege-trace] t137a__03 t=43888 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43888 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43889 (21,17) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43894 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43916 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43917 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__11 t=43917 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43917 (24,16) map=6 stage=5 hp=58%
[siege-trace] t137a__04 t=43917 (24,16) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43917 (24,16) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43917 (24,16) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43917 (24,16) map=6 stage=5 hp=97%
[siege-trace] t137a__03 t=43918 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43918 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43919 (24,16) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43924 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43946 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43947 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__11 t=43947 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43947 (16,15) map=6 stage=5 hp=60%
[siege-trace] t137a__04 t=43947 (16,15) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43947 (16,15) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43947 (16,15) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43947 (16,15) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=43948 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43948 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43949 (16,15) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43954 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=43976 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=43977 (28,10) map=1 stage=5 hp=97%
[siege-trace] t137a__11 t=43977 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=43977 (19,17) map=6 stage=5 hp=60%
[siege-trace] t137a__04 t=43977 (19,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=43977 (19,17) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=43977 (19,17) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=43977 (19,17) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=43978 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=43978 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=43979 (19,17) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=43984 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=44006 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=44007 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__11 t=44007 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=44007 (14,15) map=6 stage=5 hp=56%
[siege-trace] t137a__04 t=44007 (14,15) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=44007 (14,15) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=44007 (14,15) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=44007 (14,15) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=44008 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=44008 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=44009 (14,15) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=44014 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=44036 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=44037 (28,10) map=1 stage=5 hp=97%
[siege-trace] t137a__11 t=44037 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=44037 (27,11) map=6 stage=5 hp=52%
[siege-trace] t137a__04 t=44037 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=44037 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=44037 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=44037 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=44038 (28,10) map=6 stage=5 hp=91%
[siege-trace] t137a__05 t=44038 (28,10) map=1 stage=5 hp=100%
[siege-trace] t137a__02 t=44039 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=44044 (28,10) map=6 stage=5 hp=100%
[bots] CRYPT bossSeen=133 bossKills=0 curse=0 slam=0
[bots] SIEGE reg=13 breach=390 crown=659
[bots] SUMMARY welcomed=12/12 moved=12/12 minDeltas=15000 kills=182 pots=8 swings=20 deaths=8 shops=0 anvilTries=0 levelDrops=4 regear=0 maxLevel=15 pkts=3233314 bytes=77519825 gates b/g/p/a/r=0/0/0/0/0 mGold=0 mPelts=0 bless=0 mend=0 noSee=0 hurt=0 choir c6=0 c7=0 c8=0
[bots] t137a__00    kit=1 lvl=15 hp=133/274 party=4 deaths=0 rxR=762 rxM=2959 lastPid=1 casts c6=0 c7=0 c8=0 bossSeen=8 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__01    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=748 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=8 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__02    kit=1 lvl=14 hp=268/268 party=4 deaths=2 rxR=757 rxM=2949 lastPid=1 casts c6=0 c7=0 c8=0 bossSeen=40 bossKills=0 curse=0 slam=0 lastDeath=(46,18) killerByLvl=L3:2
[bots] t137a__03    kit=1 lvl=14 hp=256/268 party=4 deaths=2 rxR=751 rxM=2876 lastPid=1 casts c6=0 c7=0 c8=0 bossSeen=9 bossKills=0 curse=0 slam=0 lastDeath=(26,17) killerByLvl=L2:2
[bots] t137a__04    kit=1 lvl=14 hp=268/268 party=4 deaths=2 rxR=754 rxM=2890 lastPid=1 casts c6=0 c7=0 c8=0 bossSeen=9 bossKills=0 curse=0 slam=0 lastDeath=(22,9) killerByLvl=L2:2
[bots] t137a__05    kit=1 lvl=14 hp=268/268 party=4 deaths=2 rxR=762 rxM=2975 lastPid=3 casts c6=0 c7=0 c8=0 bossSeen=8 bossKills=0 curse=0 slam=0 lastDeath=(22,12) killerByLvl=L2:2
[bots] t137a__06    kit=1 lvl=15 hp=274/274 party=4 deaths=0 rxR=751 rxM=2880 lastPid=3 casts c6=0 c7=0 c8=0 bossSeen=7 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__07    kit=1 lvl=15 hp=274/274 party=4 deaths=0 rxR=755 rxM=2965 lastPid=3 casts c6=0 c7=0 c8=0 bossSeen=7 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__08    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=748 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=11 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__09    kit=1 lvl=15 hp=255/274 party=4 deaths=0 rxR=754 rxM=2948 lastPid=3 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__10    kit=1 lvl=15 hp=263/274 party=2 deaths=0 rxR=754 rxM=1493 lastPid=2 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__11    kit=1 lvl=15 hp=274/274 party=2 deaths=0 rxR=751 rxM=1480 lastPid=2 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] OK
