[siege-trace] t137d__04 t=47258 (25,16) map=1 stage=0 hp=100%
[siege-trace] t137d__02 t=47290 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47291 (28,10) map=6 stage=11 hp=87%
[siege-trace] t137d__04 t=47318 (28,10) map=6 stage=11 hp=31%
[siege-trace] t137d__15 t=47318 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47318 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47318 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47318 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47318 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47318 (28,10) map=6 stage=11 hp=94%
[siege-trace] t137d__06 t=47319 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47319 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47319 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47319 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47320 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47320 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47320 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47320 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47321 (28,10) map=6 stage=11 hp=92%
[siege-trace] t137d__04 t=47348 (28,10) map=6 stage=11 hp=33%
[siege-trace] t137d__15 t=47348 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47348 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47348 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47348 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47348 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47348 (28,10) map=6 stage=11 hp=99%
[siege-trace] t137d__06 t=47349 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47349 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47349 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47349 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47350 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47350 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47350 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47350 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47351 (28,10) map=6 stage=11 hp=98%
[siege-trace] t137d__04 t=47378 (28,10) map=6 stage=11 hp=38%
[siege-trace] t137d__15 t=47378 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47378 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47378 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47378 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47378 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47378 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47379 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47379 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47379 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47379 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47380 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47380 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47380 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47380 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47381 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47408 (28,10) map=6 stage=11 hp=44%
[siege-trace] t137d__15 t=47408 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47408 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47408 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47408 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47408 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47408 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47409 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47409 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47409 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47409 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47410 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47410 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47410 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47410 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47411 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47438 (28,10) map=6 stage=11 hp=49%
[siege-trace] t137d__15 t=47438 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47438 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47438 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47438 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47438 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47438 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47439 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47439 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47439 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47439 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47440 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47440 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47440 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47440 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47441 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47468 (28,10) map=6 stage=11 hp=55%
[siege-trace] t137d__15 t=47468 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47468 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47468 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47468 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47468 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47468 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47469 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47469 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47469 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47469 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47470 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47470 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47470 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47470 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47471 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47498 (28,10) map=6 stage=11 hp=60%
[siege-trace] t137d__15 t=47498 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47498 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47498 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47498 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47498 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47498 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47499 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47499 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47499 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47499 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47500 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47500 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47500 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47500 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47501 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47528 (28,10) map=6 stage=11 hp=66%
[siege-trace] t137d__15 t=47528 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47528 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47528 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47528 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47528 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47528 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47529 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47529 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47529 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47529 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47530 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47530 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47530 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47530 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47531 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47558 (28,10) map=6 stage=11 hp=71%
[siege-trace] t137d__15 t=47558 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47558 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47558 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47558 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47558 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47558 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47559 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47559 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47559 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47559 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47560 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47560 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47560 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47560 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47561 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47588 (28,10) map=6 stage=11 hp=77%
[siege-trace] t137d__15 t=47588 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47588 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47588 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47588 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47588 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47588 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47589 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47589 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47589 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47589 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47590 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47590 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47590 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47590 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47591 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47618 (28,10) map=6 stage=11 hp=82%
[siege-trace] t137d__15 t=47618 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47618 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47618 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47618 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47618 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47618 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47619 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47619 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47619 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47619 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47620 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47620 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47620 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47620 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47621 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47648 (28,10) map=6 stage=11 hp=87%
[siege-trace] t137d__15 t=47648 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47648 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47648 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47648 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47648 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47648 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47649 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47649 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47649 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47649 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47650 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47650 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47650 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47650 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47651 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47678 (28,10) map=6 stage=11 hp=93%
[siege-trace] t137d__15 t=47678 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47678 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47678 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47678 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47678 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47678 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47679 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47679 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47679 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47679 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47680 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47680 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47680 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47680 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47681 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47708 (28,10) map=6 stage=11 hp=98%
[siege-trace] t137d__15 t=47708 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47708 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47708 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47708 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47708 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47708 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47709 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47709 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47709 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47709 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47710 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47710 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47710 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47710 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47711 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47738 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=47738 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47738 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47738 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47738 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47738 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47738 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47739 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47739 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47739 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47739 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47740 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47740 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47740 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47740 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47741 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47768 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=47768 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47768 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47768 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47768 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47768 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47768 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47769 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47769 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47769 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47769 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47770 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47770 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47770 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47770 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47771 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47798 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=47798 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47798 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47798 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47798 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47798 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47798 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47799 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47799 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47799 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47799 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47800 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47800 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47800 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47800 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47801 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47828 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=47828 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47828 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47828 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47828 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47828 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47828 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47829 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47829 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47829 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47829 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47830 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47830 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47830 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47830 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47831 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47858 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=47858 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47858 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47858 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47858 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47858 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47858 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47859 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47859 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47859 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47859 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47860 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47860 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47860 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47860 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47861 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47888 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=47888 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47888 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47888 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47888 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47888 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47888 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47889 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47889 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47889 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47889 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47890 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47890 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47890 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47890 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47891 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47918 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=47918 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47918 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47918 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47918 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47918 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47918 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47919 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47919 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47919 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47919 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47920 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47920 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47920 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47920 (28,10) map=6 stage=11 hp=100%
