[siege-trace] t137d__04 t=45873 (42,11) map=1 stage=0 hp=100%
[siege-trace] t137d__10 t=45995 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=45996 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=45996 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=45996 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=45996 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=45997 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46023 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46024 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__08 t=46024 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46024 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46024 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46024 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46024 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46024 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46024 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46025 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46025 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46026 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46026 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46026 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46026 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46027 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46053 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46054 (28,10) map=1 stage=11 hp=94%
[siege-trace] t137d__08 t=46054 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46054 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46054 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46054 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46054 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46054 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46054 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46055 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46055 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46056 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46056 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46056 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46056 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46057 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46083 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46084 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__08 t=46084 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46084 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46084 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46084 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46084 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46084 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46084 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46085 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46085 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46086 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46086 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46086 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46086 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46087 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46113 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46114 (28,10) map=1 stage=11 hp=89%
[siege-trace] t137d__08 t=46114 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46114 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46114 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46114 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46114 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46114 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46114 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46115 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46115 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46116 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46116 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46116 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46116 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46117 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46143 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46144 (28,10) map=1 stage=11 hp=94%
[siege-trace] t137d__08 t=46144 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46144 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46144 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46144 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46144 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46144 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46144 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46145 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46145 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46146 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46146 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46146 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46146 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46147 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46173 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46174 (28,10) map=1 stage=11 hp=91%
[siege-trace] t137d__08 t=46174 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46174 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46174 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46174 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46174 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46174 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46174 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46175 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46175 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46176 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46176 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46176 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46176 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46177 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46203 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46204 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__08 t=46204 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46204 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46204 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46204 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46204 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46204 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46204 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46205 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46205 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46206 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46206 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46206 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46206 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46207 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46233 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46234 (28,10) map=1 stage=11 hp=94%
[siege-trace] t137d__08 t=46234 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46234 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46234 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46234 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46234 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46234 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46234 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46235 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46235 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46236 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46236 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46236 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46236 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46237 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46263 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46264 (28,10) map=1 stage=11 hp=90%
[siege-trace] t137d__08 t=46264 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46264 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46264 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46264 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46264 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46264 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46264 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46265 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46265 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46266 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46266 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46266 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46266 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46267 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46293 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46294 (28,10) map=1 stage=11 hp=94%
[siege-trace] t137d__08 t=46294 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46294 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46294 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46294 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46294 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46294 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46294 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46295 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46295 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46296 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46296 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46296 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46296 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46297 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46323 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46324 (28,10) map=1 stage=11 hp=89%
[siege-trace] t137d__08 t=46324 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46324 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46324 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46324 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46324 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46324 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46324 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46325 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46325 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46326 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46326 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46326 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46326 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46327 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46353 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46354 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__08 t=46354 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46354 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46354 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46354 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46354 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46354 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46354 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46355 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46355 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46356 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46356 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46356 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46356 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46357 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46383 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46384 (28,10) map=1 stage=11 hp=89%
[siege-trace] t137d__08 t=46384 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46384 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46384 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46384 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46384 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46384 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46384 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46385 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46385 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46386 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46386 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46386 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46386 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46387 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46413 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46414 (28,10) map=1 stage=11 hp=88%
[siege-trace] t137d__08 t=46414 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46414 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46414 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46414 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46414 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46414 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46414 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46415 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46415 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46416 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46416 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46416 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46416 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46417 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46443 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46444 (28,10) map=1 stage=11 hp=93%
[siege-trace] t137d__08 t=46444 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46444 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46444 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46444 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46444 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46444 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46444 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46445 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46445 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46446 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46446 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46446 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46446 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46447 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46473 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46474 (28,10) map=1 stage=11 hp=87%
[siege-trace] t137d__08 t=46474 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46474 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46474 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46474 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46474 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46474 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46474 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46475 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46475 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46476 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46476 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46476 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46476 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46477 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46503 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46504 (28,10) map=1 stage=11 hp=92%
[siege-trace] t137d__08 t=46504 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46504 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46504 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46504 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46504 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46504 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46504 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46505 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46505 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46506 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46506 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46506 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46506 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46507 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46533 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46534 (28,10) map=1 stage=11 hp=89%
[siege-trace] t137d__08 t=46534 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46534 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46534 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46534 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46534 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46534 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46534 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46535 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46535 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46536 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46536 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46536 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46536 (28,10) map=6 stage=11 hp=100%
