[siege-trace] t137a__04 t=42244 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=42395 (26,18) map=6 stage=5 hp=91%
[siege-trace] t137a__10 t=42395 (25,18) map=6 stage=5 hp=74%
[siege-trace] t137a__01 t=42395 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42396 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42396 (28,10) map=1 stage=5 hp=67%
[siege-trace] t137a__02 t=42397 (60,14) map=1 stage=5 hp=44%
[siege-trace] t137a__11 t=42399 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42402 (28,10) map=6 stage=5 hp=70%
[siege-trace] t137a__04 t=42424 (19,18) map=6 stage=5 hp=88%
[siege-trace] t137a__00 t=42424 (19,18) map=6 stage=5 hp=85%
[siege-trace] t137a__09 t=42424 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42425 (19,18) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42425 (18,18) map=6 stage=5 hp=93%
[siege-trace] t137a__10 t=42425 (19,18) map=6 stage=5 hp=79%
[siege-trace] t137a__01 t=42425 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42426 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42426 (28,10) map=1 stage=5 hp=63%
[siege-trace] t137a__02 t=42427 (23,10) map=6 stage=3 hp=98%
[siege-trace] t137a__11 t=42429 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42432 (28,10) map=6 stage=5 hp=75%
[siege-trace] t137a__04 t=42454 (17,14) map=6 stage=5 hp=94%
[siege-trace] t137a__00 t=42454 (17,14) map=6 stage=5 hp=90%
[siege-trace] t137a__09 t=42454 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42455 (17,14) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42455 (18,14) map=6 stage=5 hp=87%
[siege-trace] t137a__10 t=42455 (17,14) map=6 stage=5 hp=85%
[siege-trace] t137a__01 t=42455 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42456 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42456 (28,10) map=1 stage=5 hp=61%
[siege-trace] t137a__02 t=42457 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__11 t=42459 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42462 (28,10) map=6 stage=5 hp=81%
[siege-trace] t137a__04 t=42484 (25,18) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42484 (25,18) map=6 stage=5 hp=95%
[siege-trace] t137a__09 t=42484 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42485 (25,18) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42485 (25,18) map=6 stage=5 hp=93%
[siege-trace] t137a__10 t=42485 (25,18) map=6 stage=5 hp=79%
[siege-trace] t137a__01 t=42485 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42486 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42486 (28,10) map=1 stage=5 hp=61%
[siege-trace] t137a__02 t=42487 (26,10) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42489 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42492 (28,10) map=6 stage=5 hp=86%
[siege-trace] t137a__04 t=42514 (18,16) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42514 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42514 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42515 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42515 (18,17) map=6 stage=5 hp=98%
[siege-trace] t137a__10 t=42515 (18,17) map=6 stage=5 hp=68%
[siege-trace] t137a__01 t=42515 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42516 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42516 (28,10) map=1 stage=5 hp=58%
[siege-trace] t137a__02 t=42517 (18,17) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42519 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42522 (28,10) map=6 stage=5 hp=92%
[siege-trace] t137a__09 t=42544 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42545 (23,20) map=6 stage=5 hp=95%
[siege-trace] t137a__04 t=42545 (23,20) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42545 (23,20) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42545 (23,20) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42545 (23,20) map=6 stage=5 hp=68%
[siege-trace] t137a__01 t=42545 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42546 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42546 (28,10) map=1 stage=5 hp=58%
[siege-trace] t137a__02 t=42547 (23,20) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42549 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42552 (28,10) map=6 stage=5 hp=97%
[siege-trace] t137a__09 t=42574 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42575 (13,19) map=6 stage=5 hp=86%
[siege-trace] t137a__04 t=42575 (13,19) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42575 (13,19) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42575 (13,19) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42575 (13,19) map=6 stage=5 hp=70%
[siege-trace] t137a__01 t=42575 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42576 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42576 (28,10) map=1 stage=5 hp=63%
[siege-trace] t137a__02 t=42577 (13,19) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42579 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42582 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42604 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42605 (16,17) map=6 stage=5 hp=74%
[siege-trace] t137a__04 t=42605 (16,17) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42605 (16,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42605 (16,17) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42605 (16,17) map=6 stage=5 hp=76%
[siege-trace] t137a__01 t=42605 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42606 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42606 (28,10) map=1 stage=5 hp=66%
[siege-trace] t137a__02 t=42607 (16,17) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42609 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42612 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42634 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42635 (12,18) map=6 stage=5 hp=79%
[siege-trace] t137a__04 t=42635 (12,18) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42635 (12,18) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42635 (12,18) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42635 (12,18) map=6 stage=5 hp=75%
[siege-trace] t137a__01 t=42635 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42636 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42636 (28,10) map=1 stage=5 hp=65%
[siege-trace] t137a__02 t=42637 (12,18) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42639 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42642 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42664 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42665 (27,11) map=6 stage=5 hp=85%
[siege-trace] t137a__04 t=42665 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42665 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42665 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42665 (27,11) map=6 stage=5 hp=79%
[siege-trace] t137a__01 t=42665 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42666 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42666 (28,10) map=1 stage=5 hp=69%
[siege-trace] t137a__02 t=42667 (27,11) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42669 (28,10) map=6 stage=5 hp=91%
[siege-trace] t137a__07 t=42672 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42694 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42695 (13,11) map=6 stage=5 hp=85%
[siege-trace] t137a__04 t=42695 (13,11) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42695 (13,11) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42695 (13,11) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42695 (13,11) map=6 stage=5 hp=85%
[siege-trace] t137a__01 t=42695 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42696 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42696 (28,10) map=1 stage=5 hp=72%
[siege-trace] t137a__02 t=42697 (20,13) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42699 (28,10) map=6 stage=5 hp=95%
[siege-trace] t137a__07 t=42702 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42724 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42725 (21,16) map=6 stage=5 hp=82%
[siege-trace] t137a__04 t=42725 (21,16) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42725 (21,16) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42725 (21,16) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42725 (21,16) map=6 stage=5 hp=90%
[siege-trace] t137a__01 t=42725 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42726 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42726 (28,10) map=1 stage=5 hp=69%
[siege-trace] t137a__02 t=42727 (21,16) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42729 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42732 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42754 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42755 (24,17) map=6 stage=5 hp=87%
[siege-trace] t137a__04 t=42755 (24,17) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42755 (24,17) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42755 (24,17) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42755 (24,17) map=6 stage=5 hp=84%
[siege-trace] t137a__01 t=42755 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__03 t=42756 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42756 (28,10) map=1 stage=5 hp=69%
[siege-trace] t137a__02 t=42758 (20,17) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42759 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42762 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42784 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=42785 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42785 (20,16) map=6 stage=5 hp=73%
[siege-trace] t137a__04 t=42785 (20,16) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42785 (20,16) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42785 (20,16) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42785 (20,16) map=6 stage=5 hp=89%
[siege-trace] t137a__03 t=42786 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42786 (28,10) map=1 stage=5 hp=65%
[siege-trace] t137a__02 t=42788 (16,16) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42789 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42792 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42814 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=42815 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42815 (18,18) map=6 stage=5 hp=77%
[siege-trace] t137a__04 t=42815 (18,18) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42815 (18,18) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42815 (18,18) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42815 (18,18) map=6 stage=5 hp=84%
[siege-trace] t137a__03 t=42816 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42816 (28,10) map=1 stage=5 hp=67%
[siege-trace] t137a__02 t=42818 (18,18) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42819 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42822 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42844 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=42845 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42845 (14,14) map=6 stage=5 hp=82%
[siege-trace] t137a__04 t=42845 (14,14) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42845 (14,14) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42845 (14,14) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42845 (14,14) map=6 stage=5 hp=82%
[siege-trace] t137a__03 t=42846 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42846 (28,10) map=1 stage=5 hp=70%
[siege-trace] t137a__02 t=42848 (21,19) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42849 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42852 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42874 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=42875 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42875 (18,16) map=6 stage=5 hp=72%
[siege-trace] t137a__04 t=42875 (18,16) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42875 (18,16) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42875 (18,16) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42875 (18,16) map=6 stage=5 hp=85%
[siege-trace] t137a__03 t=42876 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42876 (28,10) map=1 stage=5 hp=70%
[siege-trace] t137a__02 t=42878 (18,16) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42879 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42882 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42904 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=42905 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42905 (12,16) map=6 stage=5 hp=75%
[siege-trace] t137a__04 t=42905 (12,16) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42905 (12,16) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42905 (12,16) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42905 (12,16) map=6 stage=5 hp=91%
[siege-trace] t137a__03 t=42906 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42906 (28,10) map=1 stage=5 hp=66%
[siege-trace] t137a__02 t=42908 (12,16) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42909 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42912 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42934 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=42935 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42935 (25,20) map=6 stage=5 hp=75%
[siege-trace] t137a__04 t=42935 (25,20) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42935 (25,20) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42935 (25,20) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42935 (25,20) map=6 stage=5 hp=90%
[siege-trace] t137a__03 t=42936 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42936 (28,10) map=1 stage=5 hp=69%
[siege-trace] t137a__02 t=42938 (25,20) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42939 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42942 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__09 t=42964 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__01 t=42965 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__00 t=42965 (23,18) map=6 stage=5 hp=70%
[siege-trace] t137a__04 t=42965 (23,18) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42965 (23,18) map=6 stage=5 hp=100%
[siege-trace] t137a__08 t=42965 (23,18) map=6 stage=5 hp=100%
[siege-trace] t137a__10 t=42965 (23,18) map=6 stage=5 hp=95%
[siege-trace] t137a__03 t=42966 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42966 (28,10) map=1 stage=5 hp=69%
[siege-trace] t137a__02 t=42968 (23,18) map=6 stage=5 hp=100%
[siege-trace] t137a__11 t=42969 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42972 (28,10) map=6 stage=5 hp=100%
[bots] CRYPT bossSeen=180 bossKills=0 curse=0 slam=0
[bots] SIEGE reg=13 breach=390 crown=659
[bots] SUMMARY welcomed=12/12 moved=12/12 minDeltas=15000 kills=199 pots=6 swings=17 deaths=8 shops=0 anvilTries=0 levelDrops=4 regear=0 maxLevel=15 pkts=2970893 bytes=71239792 gates b/g/p/a/r=0/0/0/0/0 mGold=0 mPelts=0 bless=0 mend=0 noSee=0 hurt=0 choir c6=0 c7=0 c8=0
[bots] t137a__00    kit=1 lvl=15 hp=185/274 party=4 deaths=0 rxR=762 rxM=2959 lastPid=1 casts c6=0 c7=0 c8=0 bossSeen=23 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__01    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=748 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=9 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__02    kit=1 lvl=14 hp=268/268 party=4 deaths=2 rxR=757 rxM=2949 lastPid=1 casts c6=0 c7=0 c8=0 bossSeen=27 bossKills=0 curse=0 slam=0 lastDeath=(60,14) killerByLvl=L3:2
[bots] t137a__03    kit=1 lvl=14 hp=268/268 party=4 deaths=2 rxR=751 rxM=2876 lastPid=1 casts c6=0 c7=0 c8=0 bossSeen=10 bossKills=0 curse=0 slam=0 lastDeath=(26,17) killerByLvl=L2:2
[bots] t137a__04    kit=1 lvl=14 hp=268/268 party=4 deaths=2 rxR=754 rxM=2890 lastPid=1 casts c6=0 c7=0 c8=0 bossSeen=24 bossKills=0 curse=0 slam=0 lastDeath=(22,9) killerByLvl=L2:2
[bots] t137a__05    kit=1 lvl=14 hp=182/268 party=4 deaths=2 rxR=762 rxM=2975 lastPid=3 casts c6=0 c7=0 c8=0 bossSeen=10 bossKills=0 curse=0 slam=0 lastDeath=(22,12) killerByLvl=L2:2
[bots] t137a__06    kit=1 lvl=15 hp=274/274 party=4 deaths=0 rxR=751 rxM=2880 lastPid=3 casts c6=0 c7=0 c8=0 bossSeen=18 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__07    kit=1 lvl=15 hp=274/274 party=4 deaths=0 rxR=755 rxM=2965 lastPid=3 casts c6=0 c7=0 c8=0 bossSeen=8 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__08    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=748 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=12 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__09    kit=1 lvl=15 hp=274/274 party=4 deaths=0 rxR=754 rxM=2948 lastPid=3 casts c6=0 c7=0 c8=0 bossSeen=24 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__10    kit=1 lvl=15 hp=274/274 party=2 deaths=0 rxR=754 rxM=1493 lastPid=2 casts c6=0 c7=0 c8=0 bossSeen=7 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137a__11    kit=1 lvl=15 hp=274/274 party=2 deaths=0 rxR=751 rxM=1480 lastPid=2 casts c6=0 c7=0 c8=0 bossSeen=8 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] OK
